dur: 365840.0 & 733330.0 & 583530.0 maxC: 1.0114 & 1.0144 & 1.0256 maxD: 0.9351 & 0.9867 & 1.0194 avgD: 1.0746 & 1.0968 & 1.1163
dur: 0.00594 & 0.007477 & 0.007945 maxC: 81.597 & 84.621 & 87.916 maxD: 9521.8 & 10700.0 & 12348.0 avgD: 6044.3 & 10927.0 & 18833.0
dur: 572.88 & 543.51 & 414.09 maxC: 1.1394 & 1.1346 & 1.1245 maxD: 0.9372 & 0.8895 & 0.8835 avgD: 1.9569 & 2.3896 & 2.4631
dur: 0.09257 & 0.09709 & 0.1008 maxC: 52.232 & 54.815 & 57.539 maxD: 6978.0 & 7897.0 & 9252.4 avgD: 2326.1 & 3634.3 & 6737.2
dur: 8927.4 & 7057.4 & 5254.6 maxC: 0.7293 & 0.7349 & 0.7359 maxD: 0.6868 & 0.6565 & 0.6620 avgD: 0.7531 & 0.7948 & 0.8812
dur: 0.002947 & 0.004468 & 0.004872 maxC: 79.286 & 82.835 & 87.130 maxD: 8912.4 & 10412.0 & 12686.0 avgD: 2717.0 & 3664.2 & 4674.3
dur: 284.24 & 324.75 & 253.95 maxC: 1.1071 & 1.1106 & 1.1144 maxD: 0.8772 & 0.8656 & 0.9077 avgD: 0.8797 & 0.8013 & 0.6114
dur: 0.08191 & 0.08524 & 0.09045 maxC: 60.304 & 64.582 & 69.209 maxD: 6649.7 & 7839.2 & 9768.7 avgD: 11982.0 & 20990.0 & 31829.0
dur: 7899.7 & 6195.9 & 4714.6 maxC: 0.8421 & 0.8659 & 0.8852 maxD: 0.6545 & 0.6517 & 0.6989 avgD: 3.8795 & 4.5903 & 4.1630
dur: 7.423e-06 & 9.262e-06 & 1.102e-05 maxC: 43.486 & 45.268 & 47.102 maxD: 5950.4 & 7640.2 & 9824.8 avgD: 2151.1 & 3262.6 & 5621.6
dur: 1.273e-05 & 1.414e-05 & 1.94e-05 maxC: 65.409 & 67.560 & 69.866 maxD: 5243.8 & 6639.7 & 8351.1 avgD: 7092.0 & 11543.0 & 18483.0
dur: 1.7152 & 1.5267 & 1.7604 maxC: 1.5041 & 1.4925 & 1.4833 maxD: 0.8813 & 0.8690 & 0.8500 avgD: 3.2969 & 3.5382 & 3.2879
dur: 0.2285 & 0.2494 & 0.2701 maxC: 41.751 & 43.598 & 45.552 maxD: 4556.7 & 5824.6 & 7937.0 avgD: 2171.5 & 4079.8 & 8646.1
dur: 30782.0 & 26929.0 & 24510.0 maxC: 0.9601 & 0.9631 & 0.9671 maxD: 0.7658 & 0.7624 & 0.8079 avgD: 1.0095 & 1.2505 & 1.5380
dur: 0.0003286 & 0.0003896 & 0.0004754 maxC: 55.995 & 60.255 & 64.044 maxD: 5321.9 & 6848.3 & 9280.8 avgD: 5274.0 & 9488.9 & 16495.0
dur: 44.269 & 42.067 & 43.140 maxC: 1.2876 & 1.3311 & 1.3597 maxD: 0.8944 & 0.8964 & 0.9446 avgD: 2.4517 & 2.9084 & 2.9342
dur: 0.00555 & 0.005675 & 0.005917 maxC: 47.458 & 49.767 & 52.182 maxD: 6030.7 & 7715.5 & 10028.0 avgD: 2682.2 & 5004.5 & 8972.0
dur: 747.62 & 612.71 & 537.00 maxC: 1.0913 & 1.0994 & 1.1079 maxD: 1.0135 & 1.0099 & 1.0207 avgD: 1.2469 & 1.5339 & 1.5960
dur: 0.8371 & 2.2557 & 2.5494 maxC: 46.625 & 48.934 & 51.508 maxD: 5937.9 & 7548.9 & 9657.8 avgD: 2913.8 & 4995.3 & 8459.8
dur: 112770.0 & 243560.0 & 231360.0 maxC: 1.0722 & 1.0810 & 1.0935 maxD: 0.9979 & 0.9880 & 0.9830 avgD: 1.3545 & 1.5311 & 1.5049
dur: 0.001576 & 0.00161 & 0.00171 maxC: 48.271 & 49.910 & 52.051 maxD: 6963.4 & 8370.9 & 10076.0 avgD: 3225.5 & 5239.4 & 9075.0
dur: 212.31 & 173.85 & 155.14 maxC: 1.1100 & 1.1026 & 1.1051 maxD: 1.1702 & 1.0956 & 1.0256 avgD: 1.4995 & 1.6059 & 1.6143
dur: 0.02507 & 0.02628 & 0.02804 maxC: 34.784 & 36.226 & 38.079 maxD: 5191.0 & 6211.4 & 7659.9 avgD: 2011.4 & 3152.2 & 5758.7
