# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      KAHIP      grid8x8x8      2     13.55958     1217      456     18.6121     30584.0     174600.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      3     13.55958     1038      480     18.1024     30433.0     171231.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      4     13.55958     1568      456     19.0407     30506.0     180163.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      5     13.55958     1734      462     17.4244     30461.0     163476.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      1     11.17946     1369      450     15.5764     27030.0     88536.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      2     11.17946     674      492     15.357     26898.0     87151.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      3     11.17946     986      385     15.3521     26938.0     86724.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      4     11.17946     610      348     15.2473     26958.0     87733.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      5     11.17946     982      348     15.1703     26907.0     88564.0
as-22july06.graph        dimacs      KAHIP      torus16x16      1     11.17946     1362      546     27.8536     27030.0     158320.0
as-22july06.graph        dimacs      KAHIP      torus16x16      2     11.17946     1437      656     28.3868     26898.0     161095.0
as-22july06.graph        dimacs      KAHIP      torus16x16      3     11.17946     1284      585     27.726     26938.0     156624.0
as-22july06.graph        dimacs      KAHIP      torus16x16      4     11.17946     1197      492     27.6206     26958.0     158929.0
as-22july06.graph        dimacs      KAHIP      torus16x16      5     11.17946     1140      574     27.0425     26907.0     157874.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      1     13.55958     856      380     14.5475     30439.0     139714.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      2     13.55958     706      380     14.8321     30584.0     139140.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      3     13.55958     884      451     14.7835     30433.0     139837.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      4     13.55958     811      287     14.176     30506.0     134133.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      5     13.55958     718      301     14.8254     30461.0     139092.0
as-22july06.graph        dimacs      KAHIP_TP      grid16x16      1     18.0435     1825      340     26.4358     32482.0     168951.0
as-22july06.graph        dimacs      KAHIP_TP      grid16x16      2     19.1657     1868      376     25.1003     32860.0     164959.0
as-22july06.graph        dimacs      KAHIP_TP      grid16x16      3     19.1877     2015      468     25.1432     33390.0     164361.0
as-22july06.graph        dimacs      KAHIP_TP      grid16x16      4     18.1946     2564      459     25.743     33794.0     168514.0
as-22july06.graph        dimacs      KAHIP_TP      grid16x16      5     17.8222     1646      335     25.7586     32612.0     167328.0
as-22july06.graph        dimacs      KAHIP_TP      grid8x8x8      1     13.1236     1637      192     13.1022     37236.0     141858.0
as-22july06.graph        dimacs      KAHIP_TP      grid8x8x8      2     14.29     977      152     12.7714     37286.0     140958.0
as-22july06.graph        dimacs      KAHIP_TP      grid8x8x8      3     13.9776     1203      180     13.0095     36178.0     138109.0
as-22july06.graph        dimacs      KAHIP_TP      grid8x8x8      4     13.5467     1276      220     12.7617     36366.0     138669.0
as-22july06.graph        dimacs      KAHIP_TP      grid8x8x8      5     13.4435     1556      160     13.3621     35761.0     138445.0
as-22july06.graph        dimacs      KAHIP_TP      8-dimHQ      1     6.48091     814      322     12.6005     30042.0     80933.0
as-22july06.graph        dimacs      KAHIP_TP      8-dimHQ      2     6.44874     672      201     12.5568     28583.0     82624.0
as-22july06.graph        dimacs      KAHIP_TP      8-dimHQ      3     6.14658     989      240     14.0013     28289.0     84260.0
as-22july06.graph        dimacs      KAHIP_TP      8-dimHQ      4     6.31801     532      240     12.5252     29399.0     81902.0
as-22july06.graph        dimacs      KAHIP_TP      8-dimHQ      5     6.5263     1511      255     12.1876     29896.0     83558.0
as-22july06.graph        dimacs      KAHIP_TP      torus16x16      1     11.9168     1351      581     23.3755     29962.0     148037.0
as-22july06.graph        dimacs      KAHIP_TP      torus16x16      2     11.7238     1693      742     23.0437     29959.0     148839.0
as-22july06.graph        dimacs      KAHIP_TP      torus16x16      3     11.7086     1304      534     23.5084     29441.0     147045.0
as-22july06.graph        dimacs      KAHIP_TP      torus16x16      4     12.4753     1125      504     21.9767     30694.0     150123.0
as-22july06.graph        dimacs      KAHIP_TP      torus16x16      5     12.5052     1300      355     21.7815     31355.0     146633.0
as-22july06.graph        dimacs      KAHIP_TP      torus8x8x8      1     9.229     662      175     11.6091     33241.0     129557.0
as-22july06.graph        dimacs      KAHIP_TP      torus8x8x8      2     8.58523     699      210     12.52     32540.0     129194.0
as-22july06.graph        dimacs      KAHIP_TP      torus8x8x8      3     9.26579     738      172     11.9342     33134.0     128710.0
as-22july06.graph        dimacs      KAHIP_TP      torus8x8x8      4     9.09085     608      188     12.0229     33131.0     125784.0
as-22july06.graph        dimacs      KAHIP_TP      torus8x8x8      5     9.41081     724      205     11.81     33830.0     130146.0
as-skitter.graph        network      KAHIP      grid16x16      1     1439.316     275863      74088     801.367     2438744.0     15394262.0
as-skitter.graph        network      KAHIP      grid16x16      2     1439.316     346426      155961     784.804     2438675.0     15488099.0
as-skitter.graph        network      KAHIP      grid16x16      3     1439.316     185399      117630     854.827     2424177.0     16723829.0
as-skitter.graph        network      KAHIP      grid16x16      4     1439.316     346916      124865     863.77     2432817.0     16420269.0
as-skitter.graph        network      KAHIP      grid16x16      5     1439.316     219793      99320     769.026     2415882.0     15048301.0
as-skitter.graph        network      KAHIP      grid8x8x8      1     2557.827     131954      47054     348.561     2791280.0     15803391.0
as-skitter.graph        network      KAHIP      grid8x8x8      2     2557.827     128057      48936     324.178     2778644.0     15282725.0
as-skitter.graph        network      KAHIP      grid8x8x8      3     2557.827     126634      29976     312.897     2775528.0     14175152.0
as-skitter.graph        network      KAHIP      grid8x8x8      4     2557.827     200138      54804     326.111     2784259.0     15234943.0
as-skitter.graph        network      KAHIP      grid8x8x8      5     2557.827     102099      35924     299.505     2791435.0     14236979.0
as-skitter.graph        network      KAHIP      8-dimHQ      1     1439.316     121147      65645     388.584     2438744.0     7464694.0
as-skitter.graph        network      KAHIP      8-dimHQ      2     1439.316     91161      89915     383.28     2438675.0     7564034.0
as-skitter.graph        network      KAHIP      8-dimHQ      3     1439.316     77292      81560     373.046     2424177.0     7298271.0
as-skitter.graph        network      KAHIP      8-dimHQ      4     1439.316     187078      85974     396.172     2432817.0     7531234.0
as-skitter.graph        network      KAHIP      8-dimHQ      5     1439.316     93293      84882     378.058     2415882.0     7397840.0
as-skitter.graph        network      KAHIP      torus16x16      1     1439.316     230332      74088     678.375     2438744.0     13031588.0
as-skitter.graph        network      KAHIP      torus16x16      2     1439.316     199089      98559     699.605     2438675.0     13806703.0
as-skitter.graph        network      KAHIP      torus16x16      3     1439.316     229055      117630     720.716     2424177.0     14100087.0
