# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
as-22july06.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       0.246031
as-22july06.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       0.230906
as-22july06.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       0.22899
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      10       0.239434
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      1       0.240581
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      2       0.239511
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      3       0.2406
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      4       0.238664
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      5       0.240985
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      6       0.239143
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      7       0.257423
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      8       0.241057
as-22july06.graph        dimacs       SCOTCH       3       torus16x16      9       0.239482
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      10       0.257039
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      1       0.257219
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      2       0.256868
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      3       0.255885
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      4       0.255886
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      5       0.258944
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      6       0.257148
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      7       0.257151
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      8       0.258832
as-22july06.graph        dimacs       SCOTCH       3       torus8x8x8      9       0.262384
as-skitter.graph        network       SCOTCH       3       grid16x16      10       293.324
as-skitter.graph        network       SCOTCH       3       grid16x16      1       293.761
as-skitter.graph        network       SCOTCH       3       grid16x16      2       291.318
as-skitter.graph        network       SCOTCH       3       grid16x16      3       295.23
as-skitter.graph        network       SCOTCH       3       grid16x16      4       294.098
as-skitter.graph        network       SCOTCH       3       grid16x16      5       293.712
as-skitter.graph        network       SCOTCH       3       grid16x16      6       296.239
as-skitter.graph        network       SCOTCH       3       grid16x16      7       292.818
as-skitter.graph        network       SCOTCH       3       grid16x16      8       296.653
as-skitter.graph        network       SCOTCH       3       grid16x16      9       292.155
as-skitter.graph        network       SCOTCH       3       grid8x8x8      10       630.383
as-skitter.graph        network       SCOTCH       3       grid8x8x8      1       627.92
as-skitter.graph        network       SCOTCH       3       grid8x8x8      2       620.349
as-skitter.graph        network       SCOTCH       3       grid8x8x8      3       629.623
as-skitter.graph        network       SCOTCH       3       grid8x8x8      4       626.838
as-skitter.graph        network       SCOTCH       3       grid8x8x8      5       628.863
as-skitter.graph        network       SCOTCH       3       grid8x8x8      6       627.661
as-skitter.graph        network       SCOTCH       3       grid8x8x8      7       629.033
as-skitter.graph        network       SCOTCH       3       grid8x8x8      8       626.75
as-skitter.graph        network       SCOTCH       3       grid8x8x8      9       620.222
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       301.887
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       301.622
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       298.305
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       296.915
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       299.154
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       303.14
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       296.901
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       301.556
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       303.667
as-skitter.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       303.438
as-skitter.graph        network       SCOTCH       3       torus16x16      10       203.043
