# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      KAHIP      grid8x8x8      2     13.55958     1587      344     17.7935     30584.0     166921.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      3     13.55958     991      418     17.6815     30433.0     167249.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      4     13.55958     1105      340     16.7867     30506.0     158836.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      5     13.55958     1616      366     16.9279     30461.0     158818.0
as-22july06.graph        dimacs      KAHIP       8-dimHQ      1     11.17946     778      246     13.7613     27030.0     78219.0
as-22july06.graph        dimacs      KAHIP       8-dimHQ      2     11.17946     565      273     13.4125     26898.0     76116.0
as-22july06.graph        dimacs      KAHIP       8-dimHQ      3     11.17946     719      258     13.6038     26938.0     76848.0
as-22july06.graph        dimacs      KAHIP       8-dimHQ      4     11.17946     626      264     13.5862     26958.0     78175.0
as-22july06.graph        dimacs      KAHIP       8-dimHQ      5     11.17946     566      296     13.3392     26907.0     77874.0
as-22july06.graph        dimacs      KAHIP      torus16x16      1     11.17946     1449      539     26.0764     27030.0     148218.0
as-22july06.graph        dimacs      KAHIP      torus16x16      2     11.17946     1233      581     25.9253     26898.0     147126.0
as-22july06.graph        dimacs      KAHIP      torus16x16      3     11.17946     1409      602     25.4034     26938.0     143504.0
as-22july06.graph        dimacs      KAHIP      torus16x16      4     11.17946     1187      616     25.235     26958.0     145202.0
as-22july06.graph        dimacs      KAHIP      torus16x16      5     11.17946     1415      630     25.0788     26907.0     146410.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      1     13.55958     755      273     13.2081     30439.0     126851.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      2     13.55958     665      312     13.6351     30584.0     127911.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      3     13.55958     680      225     13.0975     30433.0     123889.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      4     13.55958     707      272     13.2894     30506.0     125744.0
