# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      KAHIP      grid8x8x8      2     13.55958     942      172     12.6846     30584.0     118994.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      3     13.55958     984      205     13.2488     30433.0     125320.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      4     13.55958     819      185     12.6483     30506.0     119678.0
as-22july06.graph        dimacs      KAHIP      grid8x8x8      5     13.55958     965      215     12.8911     30461.0     120944.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      1     11.17946     1051      166     12.7445     27030.0     72440.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      2     11.17946     977      171     12.453     26898.0     70671.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      3     11.17946     979      204     12.7945     26938.0     72276.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      4     11.17946     808      174     12.5713     26958.0     72335.0
as-22july06.graph        dimacs      KAHIP      8-dimHQ      5     11.17946     871      162     12.2199     26907.0     71340.0
as-22july06.graph        dimacs      KAHIP      torus16x16      1     11.17946     1495      300     21.699     27030.0     123337.0
as-22july06.graph        dimacs      KAHIP      torus16x16      2     11.17946     1383      399     21.8079     26898.0     123760.0
as-22july06.graph        dimacs      KAHIP      torus16x16      3     11.17946     1427      258     21.7516     26938.0     122875.0
as-22july06.graph        dimacs      KAHIP      torus16x16      4     11.17946     1173      343     21.6182     26958.0     124391.0
as-22july06.graph        dimacs      KAHIP      torus16x16      5     11.17946     1180      270     21.3308     26907.0     124529.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      1     13.55958     767      180     11.2136     30439.0     107695.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      2     13.55958     1072      172     11.5768     30584.0     108602.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      3     13.55958     985      160     11.3635     30433.0     107487.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      4     13.55958     919      180     11.5112     30506.0     108919.0
as-22july06.graph        dimacs      KAHIP      torus8x8x8      5     13.55958     971      172     11.4924     30461.0     107822.0
as-22july06.graph        dimacs      KAHIP_GR      grid16x16      1     17.8819     1464      312     23.7077     30618.0     134968.0
as-22july06.graph        dimacs      KAHIP_GR      grid16x16      2     17.7446     1644      378     22.6601     30866.0     140855.0
as-22july06.graph        dimacs      KAHIP_GR      grid16x16      3     17.6393     1586      320     23.9122     31186.0     143473.0
as-22july06.graph        dimacs      KAHIP_GR      grid16x16      4     17.0678     1681      247     23.6245     30602.0     136644.0
as-22july06.graph        dimacs      KAHIP_GR      grid16x16      5     16.921     1345      259     23.2645     29927.0     137982.0
as-22july06.graph        dimacs      KAHIP_GR      grid8x8x8      1     12.9936     933      176     12.0036     33777.0     115403.0
as-22july06.graph        dimacs      KAHIP_GR      grid8x8x8      2     12.4872     954      154     11.8351     33107.0     115037.0
as-22july06.graph        dimacs      KAHIP_GR      grid8x8x8      3     13.5878     1001      172     12.0922     33912.0     118818.0
as-22july06.graph        dimacs      KAHIP_GR      grid8x8x8      4     13.8085     766      160     11.6416     33744.0     114099.0
as-22july06.graph        dimacs      KAHIP_GR      grid8x8x8      5     13.2798     943      185     11.7534     33642.0     115113.0
as-22july06.graph        dimacs      KAHIP_GR      8-dimHQ      1     6.21419     1069      170     12.508     27611.0     71821.0
as-22july06.graph        dimacs      KAHIP_GR      8-dimHQ      2     5.99691     947      174     12.7377     27634.0     70083.0
as-22july06.graph        dimacs      KAHIP_GR      8-dimHQ      3     6.14952     1003      148     12.5115     28116.0     70978.0
as-22july06.graph        dimacs      KAHIP_GR      8-dimHQ      4     6.38441     1307      132     12.1455     28360.0     70966.0
as-22july06.graph        dimacs      KAHIP_GR      8-dimHQ      5     6.21311     771      136     11.7476     28114.0     70180.0
as-22july06.graph        dimacs      KAHIP_GR      torus16x16      1     12.2559     1403      219     20.501     29870.0     118311.0
as-22july06.graph        dimacs      KAHIP_GR      torus16x16      2     12.119     1309      174     20.1038     29826.0     118391.0
as-22july06.graph        dimacs      KAHIP_GR      torus16x16      3     11.6002     1450      192     20.2705     29980.0     118339.0
as-22july06.graph        dimacs      KAHIP_GR      torus16x16      4     12.2313     1169      200     20.141     29413.0     120242.0
as-22july06.graph        dimacs      KAHIP_GR      torus16x16      5     12.1746     1426      280     20.0503     29550.0     120823.0
as-22july06.graph        dimacs      KAHIP_GR      torus8x8x8      1     9.29687     723      160     10.6335     33240.0     102252.0
as-22july06.graph        dimacs      KAHIP_GR      torus8x8x8      2     8.54681     1021      152     10.9547     32719.0     104716.0
as-22july06.graph        dimacs      KAHIP_GR      torus8x8x8      3     8.78546     1028      140     10.9282     32405.0     104310.0
as-22july06.graph        dimacs      KAHIP_GR      torus8x8x8      4     8.70851     952      124     10.9763     32371.0     105526.0
as-22july06.graph        dimacs      KAHIP_GR      torus8x8x8      5     8.75103     1002      168     10.7488     32314.0     104650.0
as-skitter.graph        network      KAHIP      grid16x16      1     1439.316     208247      421484     644.794     2438744.0     12386489.0
as-skitter.graph        network      KAHIP      grid16x16      2     1439.316     218960      283010     670.248     2438675.0     13227342.0
as-skitter.graph        network      KAHIP      grid16x16      3     1439.316     218500      208726     700.286     2424177.0     13700405.0
as-skitter.graph        network      KAHIP      grid16x16      4     1439.316     202770      294854     682.859     2432817.0     12981141.0
as-skitter.graph        network      KAHIP      grid16x16      5     1439.316     165298      508634     647.668     2415882.0     12673572.0
as-skitter.graph        network      KAHIP      grid8x8x8      1     2557.827     117793      60561     234.771     2791280.0     10644300.0
as-skitter.graph        network      KAHIP      grid8x8x8      2     2557.827     79320      64206     221.798     2778644.0     10456236.0
as-skitter.graph        network      KAHIP      grid8x8x8      3     2557.827     89437      50859     241.666     2775528.0     10948182.0
as-skitter.graph        network      KAHIP      grid8x8x8      4     2557.827     101097      72630     240.183     2784259.0     11220642.0
as-skitter.graph        network      KAHIP      grid8x8x8      5     2557.827     100530      52821     222.982     2791435.0     10599459.0
as-skitter.graph        network      KAHIP      8-dimHQ      1     1439.316     103363      45399     308.124     2438744.0     5919061.0
as-skitter.graph        network      KAHIP      8-dimHQ      2     1439.316     138680      39030     295.0     2438675.0     5821831.0
as-skitter.graph        network      KAHIP      8-dimHQ      3     1439.316     150802      29816     299.685     2424177.0     5863031.0
as-skitter.graph        network      KAHIP      8-dimHQ      4     1439.316     144658      50224     304.332     2432817.0     5785353.0
as-skitter.graph        network      KAHIP      8-dimHQ      5     1439.316     100461      36331     292.823     2415882.0     5729957.0
as-skitter.graph        network      KAHIP      torus16x16      1     1439.316     157406      35340     482.679     2438744.0     9272261.0
as-skitter.graph        network      KAHIP      torus16x16      2     1439.316     150684      38496     483.303     2438675.0     9537981.0
as-skitter.graph        network      KAHIP      torus16x16      3     1439.316     152143      43732     483.835     2424177.0     9465743.0
as-skitter.graph        network      KAHIP      torus16x16      4     1439.316     138021      32728     495.129     2432817.0     9412406.0
as-skitter.graph        network      KAHIP      torus16x16      5     1439.316     154315      39728     484.299     2415882.0     9476772.0
as-skitter.graph        network      KAHIP      torus8x8x8      1     2557.827     95542      16797     192.449     2791280.0     8725465.0
as-skitter.graph        network      KAHIP      torus8x8x8      2     2557.827     91339      17241     184.765     2778644.0     8710384.0
as-skitter.graph        network      KAHIP      torus8x8x8      3     2557.827     86597      21828     191.476     2775528.0     8674445.0
as-skitter.graph        network      KAHIP      torus8x8x8      4     2557.827     94015      21627     187.037     2784259.0     8737813.0
as-skitter.graph        network      KAHIP      torus8x8x8      5     2557.827     85377      18676     185.677     2791435.0     8826139.0
as-skitter.graph        network      KAHIP_GR      grid16x16      1     2049.66     205386      41382     494.471     2869444.0     10762153.0
as-skitter.graph        network      KAHIP_GR      grid16x16      2     2258.88     247629      46472     505.079     2958694.0     11494075.0
as-skitter.graph        network      KAHIP_GR      grid16x16      3     2233.59     193357      41133     522.213     2930326.0     11985833.0
as-skitter.graph        network      KAHIP_GR      grid16x16      4     2107.51     205288      34880     518.215     2898187.0     11410051.0
as-skitter.graph        network      KAHIP_GR      grid16x16      5     2186.24     175445      67203     505.746     2919335.0     11177485.0
as-skitter.graph        network      KAHIP_GR      grid8x8x8      1     1646.01     105895      21466     185.6     3173528.0     9419937.0
as-skitter.graph        network      KAHIP_GR      grid8x8x8      2     1661.54     105349      20086     180.389     3187904.0     9313116.0
as-skitter.graph        network      KAHIP_GR      grid8x8x8      3     1586.86     115222      19447     183.097     3214106.0     9944736.0
as-skitter.graph        network      KAHIP_GR      grid8x8x8      4     1655.79     90447      23692     174.614     3236734.0     9913351.0
as-skitter.graph        network      KAHIP_GR      grid8x8x8      5     1605.29     113110      21698     186.288     3238827.0     9420972.0
as-skitter.graph        network      KAHIP_GR      8-dimHQ      1     886.6     102165      33826     287.587     2626309.0     5657977.0
as-skitter.graph        network      KAHIP_GR      8-dimHQ      2     900.111     147986      53710     268.898     2627186.0     5497360.0
as-skitter.graph        network      KAHIP_GR      8-dimHQ      3     901.987     201220      53972     273.111     2589723.0     5601789.0
as-skitter.graph        network      KAHIP_GR      8-dimHQ      4     913.906     143385      39890     276.029     2606700.0     5495453.0
as-skitter.graph        network      KAHIP_GR      8-dimHQ      5     916.41     89203      37461     269.984     2581541.0     5464754.0
