# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-22july06.graph        dimacs      SCOTCH      grid8x8x8      1     0.2632995     1847      465     13.3866     47626.0     319445.0
as-22july06.graph        dimacs      SCOTCH      grid8x8x8      2     0.2632995     1847      465     13.3866     47626.0     319445.0
as-22july06.graph        dimacs      SCOTCH      grid8x8x8      3     0.2632995     1847      465     13.3866     47626.0     319445.0
as-22july06.graph        dimacs      SCOTCH      grid8x8x8      4     0.2632995     1847      465     13.3866     47626.0     319445.0
as-22july06.graph        dimacs      SCOTCH      grid8x8x8      5     0.2632995     1847      465     13.3866     47626.0     319445.0
as-22july06.graph        dimacs      SCOTCH      8-dimHQ      1     0.233193     1739      450     12.013     47168.0     175774.0
as-22july06.graph        dimacs      SCOTCH      8-dimHQ      2     0.233193     1258      450     12.013     47168.0     175774.0
as-22july06.graph        dimacs      SCOTCH      8-dimHQ      3     0.233193     895      450     12.013     47168.0     175774.0
as-22july06.graph        dimacs      SCOTCH      8-dimHQ      4     0.233193     1123      450     12.013     47168.0     175774.0
as-22july06.graph        dimacs      SCOTCH      8-dimHQ      5     0.233193     1210      450     12.013     47168.0     175774.0
as-22july06.graph        dimacs      SCOTCH      torus16x16      1     0.241688     2309      574     23.761     47236.0     340994.0
as-22july06.graph        dimacs      SCOTCH      torus16x16      2     0.241688     2309      574     23.761     47236.0     340994.0
as-22july06.graph        dimacs      SCOTCH      torus16x16      3     0.241688     2309      574     23.761     47236.0     340994.0
as-22july06.graph        dimacs      SCOTCH      torus16x16      4     0.241688     2309      574     23.761     47236.0     340994.0
as-22july06.graph        dimacs      SCOTCH      torus16x16      5     0.241688     2309      574     23.761     47236.0     340994.0
as-22july06.graph        dimacs      SCOTCH      torus8x8x8      1     0.2577356     1426      429     11.1906     47629.0     266314.0
as-22july06.graph        dimacs      SCOTCH      torus8x8x8      2     0.2577356     1426      429     11.1906     47629.0     266314.0
as-22july06.graph        dimacs      SCOTCH      torus8x8x8      3     0.2577356     1426      429     11.1906     47629.0     266314.0
as-22july06.graph        dimacs      SCOTCH      torus8x8x8      4     0.2577356     1426      429     11.1906     47629.0     266314.0
as-22july06.graph        dimacs      SCOTCH      torus8x8x8      5     0.2577356     1426      429     11.1906     47629.0     266314.0
as-22july06.graph        dimacs      SCOTCH_alma      grid16x16      1     21.2874     3013      380     21.0292     46031.0     233782.0
