# FILE    METHOD   UBFACTOR     NPARTS     SEED     CUT     TIME
coAuthorsDBLP.graph       KAHIP       3       256      1      178505     152.798
coAuthorsDBLP.graph       KAHIP       3       256      2      178663     160.946
coAuthorsDBLP.graph       KAHIP       3       256      3      178795     158.163
coAuthorsDBLP.graph       KAHIP       3       256      4      178990     160.268
coAuthorsDBLP.graph       KAHIP       3       256      5      178950     161.704
coAuthorsDBLP.graph       KAHIP       3       256      6      178840     155.871
coAuthorsDBLP.graph       KAHIP       3       256      7      178477     160.951
coAuthorsDBLP.graph       KAHIP       3       256      8      179090     151.355
coAuthorsDBLP.graph       KAHIP       3       256      9      178788     154.894
coAuthorsDBLP.graph       KAHIP       3       512      1      191123     218.453
coAuthorsDBLP.graph       KAHIP       3       512      2      190460     229.464
coAuthorsDBLP.graph       KAHIP       3       512      3      190940     230.197
coAuthorsDBLP.graph       KAHIP       3       512      4      190463     245.993
coAuthorsDBLP.graph       KAHIP       3       512      5      191126     233.805
coAuthorsDBLP.graph       KAHIP       3       512      6      190994     239.743
coAuthorsDBLP.graph       KAHIP       3       512      7      191194     237.206
coAuthorsDBLP.graph       KAHIP       3       512      8      191041     226.715
coAuthorsDBLP.graph       KAHIP       3       512      9      191173     236.807
coAuthorsDBLP.graph       KAHIP       3      512     10      191537     231.617
coAuthorsDBLP.graph       KAHIP       3       256      10      178505     161.761
coPapersCiteseer.graph       KAHIP       3       256      1      1579844     775.952
coPapersCiteseer.graph       KAHIP       3       256      2      1574344     760.374
coPapersCiteseer.graph       KAHIP       3       256      3      1552301     718.792
coPapersCiteseer.graph       KAHIP       3       256      4      1530202     804.479
coPapersCiteseer.graph       KAHIP       3       256      5      1547798     846.145
coPapersCiteseer.graph       KAHIP       3       256      6      1586917     890.277
coPapersCiteseer.graph       KAHIP       3       256      7      1553470     732.104
coPapersCiteseer.graph       KAHIP       3       256      8      1538360     729.912
coPapersCiteseer.graph       KAHIP       3       256      9      1544474     691.557
coPapersCiteseer.graph       KAHIP       3       512      1      2154824     870.481
coPapersCiteseer.graph       KAHIP       3       512      2      2160085     841.307
coPapersCiteseer.graph       KAHIP       3       512      3      2104043     831.533
coPapersCiteseer.graph       KAHIP       3       512      4      2162359     830.877
coPapersCiteseer.graph       KAHIP       3       512      5      2124791     841.948
coPapersCiteseer.graph       KAHIP       3       512      6      2147518     883.041
coPapersCiteseer.graph       KAHIP       3       512      7      2132158     847.704
coPapersCiteseer.graph       KAHIP       3       512      8      2079027     820.49
coPapersCiteseer.graph       KAHIP       3       512      9      2134728     803.288
coPapersCiteseer.graph       KAHIP       3      512     10      2106803     845.896
coPapersCiteseer.graph       KAHIP       3       256      10      1594761     855.319
coPapersDBLP.graph       KAHIP       3       256      1      2382194     1638.97
coPapersDBLP.graph       KAHIP       3       256      2      2362279     1542.71
coPapersDBLP.graph       KAHIP       3       256      3      2376956     1479.71
coPapersDBLP.graph       KAHIP       3       256      4      2368303     1430.48
